,address,birthdate,country_interests,mail,name,occupation,organization_interests,phone_number,sex,skills,volunteering_interests
0,Széknémetii utca 202. H-5609 hátfa,2016-01-13,"['Saint Vincent and the Grenadines', 'Morocco', 'Kiribati', 'Saint Pierre and Miquelon', 'Mauritania']",zhajdu@gmail.com,Lakatos Varga Klaudia,Commercial/residential surveyor,"['Make-A-Wish Foundation', 'United Nations Volunteers', 'Volunteer Service Abroad', 'A Better World']",(06)03/577-9501,F,"['first aid', 'crafts', 'construction', 'agriculture', 'teaching']","['teaching', 'traveling', 'health', 'children', 'construction']"
1,"7363 Jane Parkways Lake Jane, CO 00497-2148",1995-01-17,"['Sudan', 'Vietnam', 'Saudi Arabia', 'Djibouti']",ionitajohn@hotmail.com,Ludmila Popescu,Futures trader,"['GiveIndia', 'Nursing Students Without Borders', 'American Red Cross', 'World Medical Relief', 'International Fund for Animal Welfare']",+96(7)2907732207,F,"['agriculture', 'teaching', 'crafts']","['traveling', 'health', 'children']"
2,Pilishetveni út 108. H-7911 híddevecser,2004-03-14,"['Japan', 'Kenya', 'Turkey', 'Slovakia (Slovak Republic)', 'Turkey', 'Vietnam', 'Cambodia', 'Madagascar', 'Australia']",adriennhegedus@yahoo.com,Varga Károlyné,Sports administrator,"['Action Against Hunger', 'Engineers Without Borders', 'Voluntary Service Overseas']",(06)93/687-0580,F,"['construction', 'crafts', 'agriculture', 'first aid', 'teaching']","['children', 'construction', 'traveling']"
3,"06440 Diaconu Pine Suite 530 South Jane, LA 68128",1994-08-17,"['Montenegro', 'Malawi', 'Libyan Arab Jamahiriya', 'Uruguay', 'Iraq', 'Faroe Islands', 'Brazil']",ardeleanjohn@yahoo.com,Nadia Nistor,Higher education careers adviser,"['A Better World', 'Médecins Sans Frontières', 'Nursing Students Without Borders', 'GiveIndia', 'Engineers Without Borders']",851.919.7065x22715,F,"['construction', 'teaching', 'first aid', 'agriculture', 'crafts']","['environment', 'teaching', 'children', 'health', 'traveling']"
4,"5635 Benjamin Points Suite 590 New Heather, DC 13490-1891",1977-06-29,"['Iraq', 'Dominican Republic', 'San Marino', 'Djibouti', 'Uganda', 'Latvia', 'Jordan', 'Turkey']",leegabriel@hotmail.com,Justin Neal,Ceramics designer,"['International Fund for Animal Welfare', 'UNICEF', 'GiveIndia', 'Action Against Hunger']",+63(3)3232152797,M,"['construction', 'crafts', 'agriculture', 'first aid', 'teaching']","['health', 'children', 'construction', 'traveling', 'environment']"
5,plac Urocza 490 05-414 Lubliniec,1995-04-12,"['Eritrea', 'Suriname', 'Singapore', 'Swaziland', 'French Guiana', 'Bangladesh', 'Kazakhstan']",paweltytko@onet.pl,Lidia Skalik,Health and safety inspector,"['Digital Humanitarian Network', 'Bloomberg Philanthropies', 'Nursing Students Without Borders', 'UNICEF', 'Youth With A Mission', 'Building a Future']",+48 535 343 777,F,"['teaching', 'crafts', 'construction']","['health', 'environment', 'traveling', 'teaching', 'construction', 'children']"
6,"19601 Preda Isle Suite 725 Johnside, MD 70710-9986",1990-08-16,"['Falkland Islands (Malvinas)', 'Algeria', 'Portugal', 'Croatia', 'Andorra', 'French Southern Territories', 'Tajikistan']",mazilescujane@yahoo.com,Măriuca Catinca Diaconescu,Operational investment banker,"['GiveIndia', 'World Medical Relief', 'American Red Cross', 'Médecins Sans Frontières']",09989723519,F,"['first aid', 'construction', 'agriculture', 'teaching', 'crafts']","['teaching', 'traveling', 'children', 'construction', 'environment', 'health']"
7,Fabriksstigen 300 38112 Halmstad,1999-12-12,"['Latvia', 'Tanzania', 'French Polynesia', 'Singapore', 'Fiji', 'Iceland']",erik92@gmail.com,Karin Johansson,"Investment banker, operational","['World Medical Relief', 'International Voluntary Services', 'World Literacy Foundation', 'Make-A-Wish Foundation', 'GiveIndia']",074-71 89 44,F,"['first aid', 'agriculture', 'construction', 'crafts', 'teaching']","['teaching', 'environment', 'construction', 'health', 'children']"
8,Feddesteeg 1 5369HQ Oud Ootmarsum,2001-08-12,"['Guyana', 'Mauritius', 'Jamaica', 'Indonesia', 'Somalia', 'Germany', 'Western Sahara', 'Equatorial Guinea', 'Norway', 'Antarctica (the territory South of 60 deg S)']",ikleijse@hotmail.com,Elin Coolen,"Designer, furniture","['Digital Humanitarian Network', 'Voluntary Service Overseas', 'A Better World', 'Atlantic Philanthropies', 'Bloomberg Philanthropies', 'World Literacy Foundation']",+31(0)620-248927,M,"['agriculture', 'crafts', 'first aid']","['health', 'children', 'construction', 'traveling']"
9,"7 Jeremy Spur Rodriguezberg, SA, 2212",1999-07-01,"['Bulgaria', 'Gibraltar', 'Netherlands Antilles', 'Gibraltar', 'Cayman Islands', 'Guinea-Bissau', 'Turkmenistan', 'New Caledonia']",gbrooks@hotmail.com,Sarah Dougherty,Paediatric nurse,"['UNICEF', 'World Medical Relief', 'Voluntary Service Overseas', 'United Nations Volunteers', 'Volunteer Service Abroad']",0483.260.903,F,"['crafts', 'teaching', 'first aid', 'agriculture']","['construction', 'teaching', 'health', 'environment', 'children', 'traveling']"
